iter	Passed	Remaining
0	1	134
1	2	123
2	3	115
3	4	107
4	5	105
5	6	104
6	8	108
7	9	106
8	10	104
9	11	103
10	12	101
11	13	100
12	14	98
13	15	97
14	16	95
15	17	94
16	19	93
17	20	91
18	21	90
19	22	90
20	23	89
21	24	88
22	25	86
23	27	85
24	28	84
25	29	83
26	30	81
27	31	80
28	32	79
29	33	78
30	34	77
31	36	76
32	37	75
33	38	74
34	39	73
35	40	72
36	41	71
37	42	69
38	43	68
39	44	67
40	45	66
41	46	64
42	47	62
43	48	61
44	49	60
45	50	59
46	51	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	52
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	46
58	64	45
59	65	43
60	67	42
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	34
69	76	32
70	77	31
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	23
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	93	16
85	94	15
86	95	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	106	3
97	107	2
98	108	1
99	109	0
