iter	Passed	Remaining
0	161	161136
1	163	81415
2	165	54919
3	167	41737
4	171	34081
5	173	28702
6	174	24813
7	177	21954
8	178	19689
9	181	17965
10	185	16663
11	187	15408
12	189	14350
13	191	13478
14	193	12679
15	194	11969
16	196	11343
17	201	10988
18	203	10481
19	204	10024
20	209	9758
21	211	9383
22	214	9118
23	216	8819
24	218	8526
25	220	8255
26	221	7997
27	224	7793
28	227	7629
29	229	7422
30	233	7310
31	237	7179
32	239	7003
33	244	6944
34	246	6784
35	247	6630
36	249	6487
37	251	6355
38	252	6227
39	254	6105
40	255	5987
41	257	5880
42	259	5777
43	261	5679
44	263	5584
45	265	5497
46	266	5412
47	268	5326
48	271	5274
49	273	5195
50	275	5118
51	276	5047
52	278	4973
53	280	4905
54	281	4836
55	284	4791
56	286	4733
57	287	4674
58	290	4631
59	291	4573
60	293	4518
61	295	4464
62	296	4411
63	299	4375
64	300	4327
65	302	4281
66	304	4237
67	307	4215
68	309	4170
69	310	4127
70	312	4083
71	315	4060
72	316	4021
73	318	3985
74	320	3949
75	321	3914
76	323	3880
77	325	3843
78	326	3808
79	329	3789
80	331	3758
81	333	3728
82	333	3688
83	335	3656
84	336	3626
85	338	3596
86	340	3569
87	341	3540
88	345	3532
89	347	3510
90	348	3486
91	350	3459
92	352	3432
93	353	3406
94	355	3381
95	356	3357
96	359	3346
97	361	3331
98	363	3312
99	365	3292
100	369	3289
101	371	3268
102	372	3247
103	376	3241
104	378	3224
105	380	3206
106	381	3187
107	383	3169
108	385	3150
109	388	3146
110	390	3129
111	392	3110
112	393	3091
113	395	3072
114	396	3054
115	398	3035
116	399	3015
117	401	2998
118	404	2996
119	406	2979
120	407	2962
121	409	2944
122	410	2927
123	412	2912
124	413	2896
125	415	2880
126	416	2862
127	420	2864
128	422	2849
129	423	2835
130	425	2820
131	427	2807
132	428	2793
133	430	2778
134	431	2764
135	434	2763
136	436	2750
137	438	2736
138	439	2723
139	441	2710
140	442	2697
141	443	2682
142	445	2669
143	447	2657
144	449	2650
145	451	2639
146	453	2628
147	454	2616
148	456	2605
149	459	2605
150	463	2604
151	465	2594
152	466	2583
153	468	2572
154	470	2563
155	472	2558
156	474	2550
157	476	2539
158	479	2534
159	480	2524
160	481	2511
161	483	2502
162	485	2492
163	487	2484
164	489	2476
165	492	2474
166	494	2466
167	496	2457
168	497	2447
169	499	2438
170	501	2431
171	505	2433
172	509	2437
173	511	2430
174	518	2443
175	520	2435
176	525	2442
177	527	2437
178	529	2428
179	533	2429
180	535	2421
181	540	2428
182	541	2419
183	543	2411
184	545	2402
185	550	2408
186	555	2413
187	559	2414
188	560	2406
189	562	2398
190	564	2390
191	570	2398
192	572	2394
193	574	2385
194	576	2378
195	578	2372
196	579	2363
197	585	2372
198	587	2365
199	589	2356
200	591	2351
201	593	2344
202	595	2336
203	600	2342
204	602	2335
205	604	2329
206	605	2321
207	608	2315
208	609	2308
209	614	2310
210	616	2304
211	618	2300
212	620	2293
213	622	2286
214	624	2278
215	625	2270
216	630	2276
217	633	2270
218	635	2265
219	636	2258
220	638	2251
221	640	2244
222	646	2252
223	648	2247
224	650	2239
225	651	2232
226	654	2229
227	656	2222
228	660	2223
229	662	2219
230	664	2212
231	666	2205
232	667	2198
233	669	2190
234	670	2183
235	675	2185
236	676	2178
237	678	2172
238	680	2165
239	681	2159
240	684	2156
241	686	2149
242	689	2147
243	691	2141
244	692	2135
245	694	2129
246	696	2123
247	698	2116
248	699	2109
249	701	2103
250	704	2100
251	705	2095
252	707	2088
253	708	2081
254	710	2075
255	711	2068
256	713	2062
257	714	2056
258	716	2049
259	719	2047
260	721	2041
261	722	2036
262	724	2029
263	725	2023
264	727	2017
265	728	2011
266	730	2005
267	731	1998
268	735	1999
269	737	1993
270	739	1988
271	740	1982
272	742	1976
273	743	1970
274	745	1964
275	746	1958
276	751	1962
277	755	1960
278	757	1957
279	759	1952
280	761	1948
281	762	1942
282	765	1939
283	766	1933
284	768	1927
285	770	1922
286	771	1916
287	773	1911
288	774	1906
289	776	1901
290	779	1898
291	781	1893
292	782	1888
293	784	1883
294	785	1877
295	787	1872
296	788	1866
297	790	1861
